IDSTUD,IDSCHOOL,TOTWGTS,IS18C_plan_capacity,ASDAGE,SEX_female,IS34_lang,prnt_ed_M,IS17G_miss_meals,IS01_prop_sch_time,IS09_comm_modes,IS21_teach_sup,IS18E_adult_help,IS14A,IS14C,IS14K,IS17A,IS17C,IS17E,IS25A,IS25B,IS25C,IS25D,IS25E,IS25F,IS25G,IS25H,IS25J,IT05F_indiv,IT06D_indep,IP13D_prnt_sup,IP21_remote_prep,IP34_locale_size,IP34A_public,IP1G35C_prop_disadvan,IP03_tech
10030118,1003,35.613972,1.0,13.42,0,1,1.5,1.0,1.0,1.0,2.75,1.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.875,3.0,2.0,4.0,1.0,1.0,1.0,2
10030119,1003,35.613972,3.0,13.83,0,1,2.5,1.0,1.0,2.0,3.25,3.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.875,3.0,2.0,4.0,1.0,1.0,1.0,2
10030120,1003,35.613972,3.0,13.67,0,1,3.0,1.0,1.0,2.0,4.0,2.0,,3.0,1.0,4.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,3.875,3.0,2.0,4.0,1.0,1.0,1.0,2
10040101,1004,29.84049121301776,1.0,13.75,0,1,3.5,1.0,1.0,2.0,4.0,3.0,4.0,1.0,4.0,4.0,1.0,3.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,3.0,4.0,3.8666666666666667,3.4,3.0,4.0,3.0,1.0,3.0,2
10040103,1004,29.84049121301776,3.0,13.5,0,1,3.0,1.0,1.0,1.0,3.25,2.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,3.8666666666666667,3.4,3.0,4.0,3.0,1.0,3.0,2
10040104,1004,29.84049121301776,2.0,13.83,0,1,3.0,3.0,1.0,2.0,2.5,3.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.8666666666666667,3.4,3.0,4.0,3.0,1.0,3.0,2
10040105,1004,29.84049121301776,2.0,12.17,0,1,3.5,1.0,1.0,2.0,2.75,2.0,3.0,3.0,3.0,4.0,1.0,1.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,3.8666666666666667,3.4,3.0,4.0,3.0,1.0,3.0,2
10040107,1004,29.84049121301776,2.0,13.75,0,1,3.0,1.0,1.0,2.0,2.5,3.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.8666666666666667,3.4,3.0,4.0,3.0,1.0,3.0,2
10040110,1004,29.84049121301776,3.0,13.25,0,1,1.5,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.8666666666666667,3.4,3.0,4.0,3.0,1.0,3.0,2
10040112,1004,29.84049121301776,3.0,13.75,0,1,2.5,1.0,1.0,2.0,3.5,2.0,2.0,4.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,,3.0,4.0,1.0,3.8666666666666667,3.4,3.0,4.0,3.0,1.0,3.0,2
10040113,1004,29.84049121301776,2.0,12.0,0,1,3.0,1.0,1.0,1.0,2.75,2.0,2.0,3.0,2.0,4.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.8666666666666667,3.4,3.0,4.0,3.0,1.0,3.0,2
10040115,1004,29.84049121301776,3.0,13.58,0,1,2.0,1.0,1.0,2.0,2.75,3.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.8666666666666667,3.4,3.0,4.0,3.0,1.0,3.0,2
10040117,1004,29.84049121301776,2.0,13.42,0,1,5.0,2.0,5.0,4.0,3.5,3.0,2.0,3.0,2.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,3.8666666666666667,3.4,3.0,4.0,3.0,1.0,3.0,2
10040118,1004,29.84049121301776,,13.58,0,1,3.0,,1.0,,4.0,,,,,,,,4.0,4.0,4.0,2.0,2.0,2.0,2.0,,,3.8666666666666667,3.4,3.0,4.0,3.0,1.0,3.0,2
10040119,1004,29.84049121301776,2.0,12.17,0,1,3.0,1.0,1.0,4.0,3.25,3.0,3.0,2.0,2.0,3.0,,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.8666666666666667,3.4,3.0,4.0,3.0,1.0,3.0,2
