IDSTUD,IDSCHOOL,TOTWGTS,IS18C_plan_capacity,ASDAGE,SEX_female,IS34_lang,prnt_ed_M,IS17G_miss_meals,IS01_prop_sch_time,IS09_comm_modes,IS21_teach_sup,IS18E_adult_help,IS14A,IS14C,IS14K,IS17A,IS17C,IS17E,IS25A,IS25B,IS25C,IS25D,IS25E,IS25F,IS25G,IS25H,IS25J
10480103,1048,21.24359362500001,2,13.67,1,2,,1,1,2,2.5,3,2,2,2,4,2,1,4,4,3,2,2,2,3,4,4
10480104,1048,21.24359362500001,2,13.17,0,2,5,4,1,2,2.5,1,3,2,3,3,2,2,2,1,1,1,2,3,1,1,2
10480105,1048,21.24359362500001,3,12.67,0,2,5,2,1,2,2,2,3,3,4,3,1,1,2,2,2,2,2,2,2,4,4
10480106,1048,21.24359362500001,2,13.67,1,2,4.5,1,1,2,2.75,1,3,3,4,3,3,2,3,2,2,3,2,2,1,4,4
10480108,1048,21.24359362500001,2,13.83,0,2,,1,2,3,3,2,3,3,,4,3,1,,,,,,,,,
10480109,1048,21.24359362500001,2,13.17,1,2,4,3,1,2,2.75,1,2,3,4,4,4,2,4,3,3,4,4,4,4,3,4
10480110,1048,21.24359362500001,2,13.75,0,2,4,4,1,2,3.25,2,2,4,2,3,1,1,1,3,2,3,3,3,4,2,2
10480111,1048,21.24359362500001,2,13.33,0,2,5,3,1,2,2.5,2,2,3,3,4,2,1,3,2,1,2,2,3,2,3,2
10480112,1048,21.24359362500001,3,13.08,0,2,,1,1,4,3.25,3,4,2,4,4,4,1,3,3,3,3,3,3,3,3,3
10480114,1048,21.24359362500001,3,14,0,2,5,1,1,2,2.5,2,3,2,4,4,2,1,3,2,2,3,3,3,2,2,3
10480115,1048,21.24359362500001,,14.92,1,2,,,1,,,,,,,,,,,,,,,,,,
10480116,1048,21.24359362500001,,14.33,0,2,,,1,1,,,,,,,,,,,,,,,,,
10480117,1048,21.24359362500001,1,13.33,1,2,5,1,1,2,2.5,2,3,2,4,4,1,2,3,1,2,4,4,4,4,4,4
10480118,1048,21.24359362500001,,14.25,0,2,,,1,2,,,2,3,,,,,,,,,,,,,
10480119,1048,21.24359362500001,2,13.83,0,2,4,1,1,2,3,1,2,1,3,4,1,2,4,4,4,4,2,2,2,3,1
10480120,1048,21.24359362500001,3,13.58,1,2,4.5,1,1,2,2.5,2,2,2,2,4,1,2,4,3,3,2,2,2,2,3,1
10490101,1049,20.13340759375,3,13,0,2,5,1,1,2,3.5,2,2,2,2,4,2,2,1,1,2,2,1,1,1,3,1
10490102,1049,20.13340759375,2,13.33,0,2,5,2,5,3,3,2,2,4,4,4,2,2,3,3,2,2,3,2,2,3,
10490103,1049,20.13340759375,3,12.92,0,2,4.5,1,1,2,2.75,2,2,3,2,3,2,1,3,3,3,2,2,2,2,2,2
10490104,1049,20.13340759375,3,13.17,0,2,3.5,1,5,2,2.75,2,3,3,2,3,1,4,3,2,2,4,3,3,2,3,2
10490105,1049,20.13340759375,2,14.25,0,2,4,1,1,1,2.75,3,2,3,3,4,2,1,2,3,,3,2,3,2,2,2
10490106,1049,20.13340759375,,13.58,0,2,5,,3,1,3.25,,3,,4,4,,,2,2,2,2,2,2,2,4,2
10490107,1049,20.13340759375,2,12.92,0,4,4,1,1,,3.5,2,3,2,3,4,2,1,2,2,2,1,3,3,4,4,4
10490108,1049,20.13340759375,1,13.17,1,2,5,1,,1,3,1,2,3,4,4,3,1,4,2,3,4,4,4,3,4,2
10490109,1049,20.13340759375,3,13.17,1,2,4,4,1,1,2.25,1,3,3,2,3,2,2,4,3,3,2,2,2,2,4,2
10490110,1049,20.13340759375,2,12.58,1,2,5,2,1,2,2.25,2,3,3,3,2,2,2,3,2,2,3,3,3,3,2,3
10490111,1049,20.13340759375,3,13.58,1,2,3.5,1,5,1,3,2,1,3,2,4,2,1,4,2,3,3,2,3,2,4,3
10490112,1049,20.13340759375,2,14,1,2,3.5,2,1,1,3.25,2,2,3,2,2,2,1,2,2,2,4,2,2,4,3,2
10490113,1049,20.13340759375,3,13.25,1,2,5,1,1,2,3,2,2,3,3,4,2,1,3,2,3,4,4,4,4,3,4
10490114,1049,20.13340759375,3,12.92,1,2,3.5,1,1,1,2.75,2,2,3,2,4,1,2,4,3,3,3,3,2,1,4,1
10490115,1049,20.13340759375,2,12.75,1,2,5,1,1,3,3.5,3,2,3,2,4,1,2,2,3,2,2,3,3,1,4,4
10490116,1049,20.13340759375,3,13.58,1,2,4.5,1,1,2,2.5,2,2,2,4,3,3,2,3,2,3,3,2,2,3,2,4
10490117,1049,20.13340759375,3,13.67,1,2,5,2,1,2,2.5,2,2,3,2,2,4,2,4,3,4,3,3,2,1,3,2
10490118,1049,20.13340759375,3,13.33,1,2,2,2,1,3,2.5,2,2,2,4,3,4,3,3,3,3,4,4,4,3,4,4
10490119,1049,20.13340759375,2,13.83,1,2,4,1,1,3,2.6666667,2,2,3,2,3,1,2,3,,2,3,3,,2,3,1
10490120,1049,20.13340759375,2,12.67,1,2,5,1,1,2,3.25,2,1,3,1,4,1,1,4,4,4,1,1,1,2,3,1
10500101,1050,48.57791009791666,3,14.75,0,4,4.5,2,1,4,2.5,1,2,3,2,4,1,1,4,3,3,2,4,2,4,2,2
10500102,1050,48.57791009791666,3,14.17,0,2,5,1,1,2,2.5,3,1,2,1,4,2,1,1,1,1,1,1,1,1,2,3
10500103,1050,48.57791009791666,3,14.08,1,2,4.5,1,1,1,3.25,2,4,4,3,4,1,1,4,2,3,2,3,2,3,4,2
10500104,1050,48.57791009791666,1,13.5,0,2,5,2,1,2,2.75,3,2,3,4,3,1,2,2,1,3,4,4,4,1,4,4
10500107,1050,48.57791009791666,1,13.25,0,2,5,1,1,2,3.25,2,1,3,2,3,2,1,3,3,3,3,1,1,1,3,2
10500108,1050,48.57791009791666,2,13.92,1,2,5,1,1,4,3.25,2,1,2,3,4,1,1,4,2,3,1,1,1,2,3,2
10500110,1050,48.57791009791666,3,13.25,1,2,5,2,1,3,2.75,2,3,4,1,2,4,1,4,2,2,2,2,2,3,3,3
10500112,1050,48.57791009791666,2,13.75,1,2,5,1,1,2,2.75,1,2,2,3,4,1,2,2,1,3,2,2,2,1,3,3
10500113,1050,48.57791009791666,1,13.83,1,2,,1,1,2,,2,4,2,,2,2,2,,,,,,,,,
10500115,1050,48.57791009791666,1,13.75,0,2,,1,1,2,3.3333333,3,3,2,,4,1,2,,,,,,,,,
10500117,1050,48.57791009791666,2,13.08,1,2,5,1,3,3,3.75,2,2,2,2,4,1,1,3,3,3,2,2,2,2,2,2
10500118,1050,48.57791009791666,1,13.92,0,2,3.5,1,1,1,3.25,3,2,2,3,3,1,2,4,3,3,3,3,2,1,4,2
10510101,1051,33.0886434375,3,12.83,0,2,4.5,2,1,2,3.3333333,3,3,3,3,3,2,1,3,3,4,3,3,3,3,3,3
10510102,1051,33.0886434375,2,13.75,0,2,4,2,1,3,1.25,3,3,2,3,3,1,1,2,2,2,2,2,2,2,3,2
10510103,1051,33.0886434375,3,13.17,0,2,5,1,1,1,3,3,2,2,4,4,1,1,3,3,1,4,4,2,,4,4
10510104,1051,33.0886434375,3,13.75,0,2,3,4,1,4,2.75,2,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3
10510105,1051,33.0886434375,1,12.25,0,2,4.5,1,1,1,1.75,2,4,2,4,3,4,4,3,2,2,4,4,4,1,4,4
10510106,1051,33.0886434375,1,12.92,0,2,4.5,1,1,2,3.25,2,2,2,3,4,1,1,2,2,2,3,3,3,2,4,4
10510108,1051,33.0886434375,,12.5,0,2,,,1,0,,,4,3,,,,,,,,,,,,,
10510109,1051,33.0886434375,2,13.92,0,2,5,1,1,2,3.25,3,4,1,3,2,4,2,3,1,1,3,4,4,4,3,3
10510110,1051,33.0886434375,3,13.25,0,2,1,2,1,3,3.5,3,3,2,2,4,3,1,3,3,3,3,3,3,3,3,3
10510111,1051,33.0886434375,3,12.92,0,2,3.5,4,1,1,2.5,3,2,2,1,4,2,1,3,2,3,2,2,2,2,2,1
10510112,1051,33.0886434375,1,13,1,2,5,1,1,0,2.25,2,3,3,3,4,2,2,1,1,2,4,3,4,3,4,3
10510113,1051,33.0886434375,1,12.67,1,2,4,1,1,2,3,2,3,2,2,2,3,2,3,3,2,3,2,2,3,3,3
10510114,1051,33.0886434375,2,13.17,1,2,5,1,1,3,3.25,2,2,3,2,3,2,1,3,3,3,2,2,2,4,4,2
10510115,1051,33.0886434375,1,13.08,1,2,3,1,1,1,3,2,3,2,4,,1,1,4,4,4,4,3,3,2,4,2
10510116,1051,33.0886434375,2,12.92,1,2,5,1,1,1,3.25,2,3,3,3,3,2,2,2,1,2,2,3,3,2,4,1
10510117,1051,33.0886434375,2,13,1,2,5,1,1,3,3.25,2,3,3,3,2,2,2,4,3,2,3,2,3,3,3,4
10510118,1051,33.0886434375,2,13.42,1,2,4.5,1,1,1,3.75,2,2,3,3,4,2,1,2,3,3,3,2,3,3,3,2
10510119,1051,33.0886434375,2,12.83,1,2,4.5,2,,4,3.75,2,2,3,2,1,2,2,4,4,4,4,3,3,3,3,3
10510120,1051,33.0886434375,1,13.58,1,2,2.5,4,1,1,2.25,2,3,1,2,3,3,4,,3,3,2,3,2,3,3,3
10520101,1052,29.38606678823529,2,13.58,1,2,5,1,1,2,3,3,2,2,4,4,1,1,2,2,3,2,2,3,1,2,2
10520102,1052,29.38606678823529,1,13.75,0,2,4,1,1,2,2,1,2,1,4,3,3,2,1,1,2,4,4,4,2,4,4
10520103,1052,29.38606678823529,,14.25,0,2,,2,5,2,3,,,,,1,,2,1,2,2,3,3,3,3,3,
10520104,1052,29.38606678823529,3,13.58,0,2,5,2,5,3,2.5,2,2,4,4,4,3,3,4,4,4,4,2,3,3,4,2
10520105,1052,29.38606678823529,3,14.67,1,2,3.5,2,1,2,2.5,3,3,2,3,4,1,2,3,3,2,2,3,3,3,4,2
10520106,1052,29.38606678823529,3,13.42,1,2,5,1,1,2,2.5,3,2,1,3,3,4,2,4,1,3,2,2,2,2,2,4
10520107,1052,29.38606678823529,1,13.67,1,2,5,2,1,2,2.5,1,3,2,4,2,3,2,1,1,1,4,4,4,1,3,4
10520108,1052,29.38606678823529,2,13.42,0,2,5,1,1,2,3,2,2,2,4,4,1,1,2,2,2,3,2,3,2,2,2
10520109,1052,29.38606678823529,2,14.17,0,2,5,1,1,2,3,3,1,4,2,4,2,1,3,4,4,2,1,2,1,3,1
10520111,1052,29.38606678823529,3,14.25,1,2,3,1,1,3,2.75,2,2,3,2,4,1,2,4,3,4,4,4,2,2,2,3
10520113,1052,29.38606678823529,2,13.92,0,2,5,1,1,1,2.75,2,2,4,2,4,2,2,3,2,3,3,2,3,3,3,3
10520114,1052,29.38606678823529,1,13.5,0,2,5,3,1,1,2.5,3,3,3,4,4,1,1,2,2,2,3,3,3,2,4,3
10520115,1052,29.38606678823529,2,14.17,1,2,5,1,1,2,2.5,2,2,3,3,3,1,1,2,1,2,4,4,4,3,3,2
10520116,1052,29.38606678823529,1,13.42,1,2,3.5,2,1,2,3.25,2,2,4,4,4,2,1,4,1,2,4,4,3,4,4,4
10520118,1052,29.38606678823529,,14.25,0,2,,,5,0,,,,,,,,,,,,,,,,,
10520119,1052,29.38606678823529,2,13.58,0,2,3.5,3,1,4,2.75,2,3,3,4,2,3,2,4,4,3,3,3,4,4,3,4
10520120,1052,29.38606678823529,1,13.42,1,2,5,3,1,2,2.75,2,2,4,3,3,4,2,3,2,3,2,2,2,2,4,1
10530101,1053,24.4599955625,2,13.83,0,2,5,1,1,2,2.75,2,2,4,2,3,2,1,3,3,1,1,1,1,1,2,2
10530102,1053,24.4599955625,2,14.17,0,2,5,1,1,2,2.5,2,2,3,3,2,1,2,3,1,3,4,3,3,2,2,2
10530103,1053,24.4599955625,3,13.92,0,2,5,1,1,2,2.5,2,2,3,2,4,1,2,4,4,3,2,3,3,1,2,3
10530104,1053,24.4599955625,2,13.5,0,2,5,1,1,2,2.5,2,3,3,2,3,1,1,2,2,3,2,2,2,3,2,2
10530105,1053,24.4599955625,2,14.67,0,2,5,1,1,1,3.25,2,2,4,3,3,2,2,2,1,3,1,2,1,1,2,3
10530106,1053,24.4599955625,1,13.58,0,2,,2,1,3,3,3,2,2,3,4,1,1,1,1,1,2,3,4,1,3,4
10530107,1053,24.4599955625,1,13.5,0,4,5,1,1,2,2.5,2,3,2,4,3,1,2,1,1,1,1,4,3,2,3,2
10530108,1053,24.4599955625,2,14.5,0,2,5,1,1,2,2.5,2,2,2,3,4,1,2,2,3,2,4,2,3,2,2,2
10530109,1053,24.4599955625,2,13.67,0,2,4.5,1,1,2,2.5,3,3,3,4,4,2,2,4,2,2,3,3,3,1,3,2
10530110,1053,24.4599955625,2,12.92,0,2,4,4,1,2,2.5,2,3,3,1,3,3,1,4,3,2,3,,4,1,2,2
10530111,1053,24.4599955625,1,13.67,0,2,3.5,1,1,1,2.75,3,2,3,3,4,1,2,3,3,3,2,3,3,3,3,1
10530112,1053,24.4599955625,1,14.08,0,2,5,2,1,3,2.25,2,4,2,4,4,1,3,3,1,1,4,3,3,2,4,4
10530113,1053,24.4599955625,2,13.75,1,2,4.5,1,1,2,3,2,3,2,3,4,1,1,2,1,2,1,4,3,1,4,2
10530115,1053,24.4599955625,1,13.83,1,2,4,1,1,2,2,2,3,2,4,3,1,2,2,2,2,2,2,2,2,3,2
10530116,1053,24.4599955625,2,14.17,1,2,5,1,4,2,2.5,2,3,2,4,4,1,2,2,1,2,3,3,4,3,3,4
10530117,1053,24.4599955625,2,13.42,1,2,5,1,1,2,2.75,2,2,2,3,4,1,2,2,2,2,3,3,3,2,3,2
10530118,1053,24.4599955625,1,14.33,1,2,5,1,1,2,2.5,3,2,3,2,4,1,1,3,3,3,3,2,3,2,3,3
10530119,1053,24.4599955625,3,13.67,1,2,5,1,1,2,2.5,3,3,2,4,3,2,2,3,2,2,2,3,3,2,4,3
10530120,1053,24.4599955625,3,13.58,1,2,4.5,1,5,4,2.75,3,2,3,2,3,3,2,2,2,3,4,3,3,3,3,2
10540101,1054,26.421032875,2,13.33,0,2,5,1,1,2,3.5,2,2,2,1,4,2,2,2,2,1,2,2,3,1,1,4
10540102,1054,26.421032875,3,13.92,0,2,5,1,1,2,3.25,2,2,3,4,4,1,1,2,2,2,3,2,2,1,4,2
10540103,1054,26.421032875,2,12.83,0,2,3,1,1,1,2.75,2,2,3,4,2,3,3,3,3,4,4,3,2,1,4,1
10540104,1054,26.421032875,3,13.58,0,2,4.5,2,1,3,2.75,1,1,3,1,3,3,3,4,3,4,2,3,1,1,4,2
10540105,1054,26.421032875,2,13.92,0,2,5,1,1,4,3,2,2,1,2,3,3,3,2,2,2,2,2,2,2,2,2
10540106,1054,26.421032875,3,13.58,0,2,5,1,1,2,2.5,1,1,4,1,2,2,1,3,3,2,1,1,1,1,1,4
10540107,1054,26.421032875,3,13.5,0,2,4.5,1,1,2,3,1,1,3,1,4,1,1,4,3,3,1,2,1,2,3,1
10540108,1054,26.421032875,3,13.25,0,4,4.5,1,1,2,3.25,2,4,4,1,4,1,1,4,4,4,1,1,1,1,4,1
10540109,1054,26.421032875,2,13.92,0,2,4.5,1,5,1,3,2,2,3,2,4,2,2,3,2,3,3,1,2,1,3,2
10540110,1054,26.421032875,2,12.33,0,2,5,1,1,2,2.5,2,2,3,2,3,1,1,2,1,1,4,2,3,2,3,3
10540111,1054,26.421032875,3,13.42,0,2,5,1,1,3,2.75,2,2,2,2,3,2,2,3,3,3,2,2,2,2,3,1
10540113,1054,26.421032875,2,13.75,1,2,5,2,1,2,2.75,2,2,3,3,3,1,2,3,2,2,3,3,3,3,3,3
10540114,1054,26.421032875,1,13.08,1,2,4.5,3,1,1,3,2,2,3,3,4,1,2,2,2,2,3,3,3,3,3,3
10540115,1054,26.421032875,2,12.58,1,2,5,1,1,2,3,2,2,3,4,4,4,1,3,4,2,2,4,3,1,2,4
10540116,1054,26.421032875,1,13.5,1,2,5,4,1,2,3.25,2,2,3,4,2,2,1,4,4,4,4,4,4,4,4,4
10540117,1054,26.421032875,3,13.67,1,2,5,2,1,2,3,1,3,2,3,3,1,2,2,3,2,4,4,,2,3,3
10540118,1054,26.421032875,2,13.25,1,2,5,1,5,1,2.5,3,3,2,2,2,1,1,2,2,3,2,2,2,2,3,3
10540119,1054,26.421032875,2,12.92,1,2,3.5,1,1,2,2.75,2,2,3,2,2,2,1,2,2,2,2,3,3,2,3,3
10540120,1054,26.421032875,1,13.42,1,2,4,2,1,2,3.25,2,2,3,2,3,2,1,2,4,3,1,3,2,3,4,3
10550101,1055,15.563017859375,1,13.83,0,2,5,2,1,4,2.75,1,2,2,3,2,2,2,3,3,3,3,3,3,3,3,3
10550102,1055,15.563017859375,2,12.83,0,2,1.5,3,1,1,3.25,2,1,4,2,3,2,2,4,2,3,3,2,1,2,3,3
10550103,1055,15.563017859375,3,14.92,0,2,5,3,,1,3.5,2,2,3,2,4,2,2,3,3,3,3,3,3,3,4,3
10550104,1055,15.563017859375,3,14.83,0,2,5,4,1,2,2.75,1,3,3,3,4,1,1,3,3,3,3,2,3,3,3,3
10550105,1055,15.563017859375,3,13.75,0,2,5,2,1,2,2.75,3,2,3,3,4,1,2,3,3,3,3,3,3,3,3,3
10550106,1055,15.563017859375,1,13.75,0,2,4,2,1,2,2.5,2,1,2,1,1,2,1,3,2,4,2,1,3,4,2,3
10550107,1055,15.563017859375,3,13.58,0,2,5,2,1,2,3.25,3,3,3,3,4,2,1,4,3,4,2,2,2,2,2,2
10550108,1055,15.563017859375,2,13.5,0,2,4,3,1,2,,,4,3,,1,,1,,,,,,,,,
10550109,1055,15.563017859375,2,12.5,0,2,5,2,5,2,3.5,2,4,4,3,2,2,2,3,3,3,3,3,3,3,3,3
10550110,1055,15.563017859375,2,13.83,0,2,5,2,1,2,3.5,3,2,3,2,3,2,1,3,3,3,2,2,2,2,1,2
10550111,1055,15.563017859375,2,13.25,0,2,5,2,1,2,2.75,2,2,2,3,2,2,2,3,3,3,3,3,3,3,3,3
10550112,1055,15.563017859375,2,13.58,0,2,5,2,1,0,2.75,2,2,2,3,2,2,2,3,3,3,3,3,3,3,3,3
10550113,1055,15.563017859375,3,13.42,0,2,5,2,1,1,2.75,2,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3
10550114,1055,15.563017859375,2,13.17,0,2,3.5,,4,2,3.75,2,4,2,1,,4,2,4,4,,3,,2,,3,3
10550115,1055,15.563017859375,1,14.58,0,2,5,1,1,1,2.75,2,2,2,2,3,2,1,2,2,3,2,2,2,2,2,2
10550116,1055,15.563017859375,1,12.75,0,2,,2,1,4,2,1,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3
10550117,1055,15.563017859375,2,14.33,1,2,5,1,1,1,2.75,3,2,2,2,3,2,1,3,2,3,2,2,2,1,3,2
10550118,1055,15.563017859375,1,12.67,1,2,4,2,1,2,2.75,2,4,2,1,3,2,3,1,2,3,3,2,3,2,2,2
10550119,1055,15.563017859375,2,13.75,1,2,3,2,1,2,3.5,2,3,3,3,4,3,2,3,3,3,3,3,3,3,3,3
10550120,1055,15.563017859375,2,12.33,1,2,5,1,1,1,3.25,2,3,2,2,4,2,1,3,,3,1,2,2,2,4,4
10560101,1056,21.946003734375,3,14,0,2,3,1,4,3,3,1,2,4,3,2,4,2,4,4,4,4,1,2,4,4,3
10560102,1056,21.946003734375,1,15.67,0,2,1.5,,5,3,2.75,3,1,4,2,,,,1,2,3,1,4,2,2,,4
10560103,1056,21.946003734375,1,14.75,0,2,4.5,3,1,3,2.5,1,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2
10560104,1056,21.946003734375,,12.5,0,2,3,,1,,3,,,,,,,,,,,,,,,,
10560105,1056,21.946003734375,3,14.25,0,4,3,2,1,3,2.75,2,2,3,2,3,1,1,3,2,2,3,2,2,3,4,2
10560106,1056,21.946003734375,3,13.83,0,2,4,1,1,3,3.25,3,2,2,3,4,2,1,3,3,2,2,3,3,2,4,2
10560107,1056,21.946003734375,2,12.83,0,2,2.5,3,1,2,1.75,2,4,2,2,3,3,1,3,2,2,3,2,2,3,2,2
10560108,1056,21.946003734375,2,13,0,2,4.5,2,1,1,3.25,1,2,3,2,3,4,1,3,3,3,2,3,2,2,4,2
10560109,1056,21.946003734375,3,13.75,0,2,3.5,2,2,0,4,,4,2,1,2,3,2,1,1,2,2,2,4,1,1,
10560110,1056,21.946003734375,3,14.33,0,4,4,2,1,3,3.25,3,2,4,2,4,2,2,3,3,4,3,3,3,2,3,2
10560111,1056,21.946003734375,2,13.92,0,2,5,,1,4,1.75,2,,,,,,,,,,,,,,,
10560112,1056,21.946003734375,1,13.08,1,2,4,1,1,2,2.75,2,3,2,4,2,1,3,3,2,1,3,3,3,3,2,3
10560113,1056,21.946003734375,1,12.25,1,2,5,1,1,2,2.5,3,2,3,2,4,1,1,2,1,1,4,3,4,3,3,4
10560114,1056,21.946003734375,,13.33,1,2,3,1,1,,2.25,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2
10560115,1056,21.946003734375,3,12.92,1,2,5,1,1,2,2.75,3,2,3,2,4,4,2,3,2,2,3,2,2,2,2,4
10560116,1056,21.946003734375,2,13.42,1,2,4,2,1,2,2.25,2,2,1,4,1,1,2,1,1,1,4,4,3,2,4,2
10560117,1056,21.946003734375,2,13.08,1,2,4,2,1,2,3,2,3,4,2,3,4,2,3,4,3,2,2,1,2,3,3
10560118,1056,21.946003734375,3,12.42,1,2,3.5,1,1,2,3.5,2,3,2,2,4,1,1,2,2,2,2,3,2,2,3,2
10560119,1056,21.946003734375,1,14.17,1,2,3,1,1,3,2.25,1,3,1,4,2,1,3,2,2,2,4,4,4,4,4,4
10560120,1056,21.946003734375,1,13.17,1,2,5,1,1,2,2.5,2,3,2,3,3,4,2,3,3,2,4,4,4,4,4,4
10590101,1059,18.8370533125,2,13.58,1,2,5,2,5,2,3.25,3,2,3,2,4,2,1,3,3,3,3,3,2,2,4,2
10590102,1059,18.8370533125,2,13.83,1,2,4.5,2,1,2,2.75,2,3,3,4,4,4,2,3,3,3,4,3,3,4,3,4
10590103,1059,18.8370533125,2,13.17,1,2,4,2,1,3,3.25,1,3,4,4,3,1,2,4,4,4,2,1,1,1,1,1
10590104,1059,18.8370533125,3,12.75,1,2,5,2,1,1,3.25,3,1,4,1,4,2,1,3,3,4,2,3,2,1,4,2
10590105,1059,18.8370533125,2,13.42,1,2,5,1,1,3,3.75,3,2,3,2,3,3,2,4,4,3,4,4,4,4,4,2
10590106,1059,18.8370533125,1,13.17,1,2,4.5,1,1,4,3,2,3,2,2,2,1,1,1,1,1,1,3,3,4,2,1
10590107,1059,18.8370533125,3,13.58,1,2,3.5,1,1,1,2.5,2,2,3,1,3,1,1,3,2,1,4,4,3,4,2,3
10590108,1059,18.8370533125,2,13,1,2,5,1,1,2,2.25,2,4,3,4,4,1,1,3,2,2,4,4,4,3,3,4
10590109,1059,18.8370533125,2,13.25,1,2,5,2,1,2,3.5,2,3,3,3,4,1,3,3,4,2,3,3,2,3,3,3
10590111,1059,18.8370533125,3,13.33,0,2,4,1,1,1,3,2,2,3,3,4,1,1,3,2,2,3,3,2,2,2,3
10590112,1059,18.8370533125,2,13.5,0,2,5,1,1,2,3.25,2,2,3,1,4,4,1,2,2,2,1,3,4,4,3,1
10590113,1059,18.8370533125,2,13.25,0,2,5,4,1,1,3.25,3,3,3,2,2,2,1,4,2,2,3,2,4,1,2,3
10590114,1059,18.8370533125,2,13.08,0,2,5,3,1,1,3.25,2,2,3,4,3,3,4,4,4,4,4,4,4,3,4,3
10590115,1059,18.8370533125,2,13.08,0,2,3,2,3,0,2.75,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
10590116,1059,18.8370533125,3,13.42,0,2,3,1,1,2,2.5,3,4,2,4,1,4,4,4,3,4,4,2,4,4,4,4
10590117,1059,18.8370533125,2,12.58,0,2,5,4,1,1,2.75,1,4,4,3,4,2,1,2,1,1,4,4,4,1,4,4
10590118,1059,18.8370533125,2,12.67,0,2,4,1,1,1,3.25,2,1,4,4,4,2,1,4,4,4,3,4,2,2,4,2
10590119,1059,18.8370533125,2,13.25,0,2,4,1,1,4,2.75,2,2,3,4,4,1,2,2,3,2,3,2,3,3,2,3
10590120,1059,18.8370533125,1,13.17,0,2,2,4,5,1,2.5,3,2,2,3,4,2,1,3,3,3,2,3,2,3,3,3
10600101,1060,19.6342330625,3,14.75,0,2,3.5,1,1,2,3,1,2,3,2,4,2,1,3,2,3,2,2,2,2,3,2
10600102,1060,19.6342330625,3,13,0,2,5,2,1,3,3.25,,1,4,4,2,2,1,4,4,4,4,4,4,4,4,4
10600103,1060,19.6342330625,2,13.67,0,3,4.5,2,1,,2.5,2,3,3,4,2,1,2,3,3,3,3,3,3,3,3,3
10600104,1060,19.6342330625,2,13.67,0,2,4.5,1,1,3,3.25,1,2,2,3,2,4,1,2,1,1,4,4,1,3,1,4
10600105,1060,19.6342330625,,13.58,0,2,4,1,1,0,3.6666667,3,3,3,,2,2,2,,,,,,,,,
10600106,1060,19.6342330625,3,13,1,2,3,1,1,4,3.25,3,3,2,4,4,1,1,2,4,4,3,3,3,3,3,2
10600107,1060,19.6342330625,3,13.83,1,2,4.5,1,1,4,3.25,3,2,3,4,4,1,1,2,4,4,3,3,3,3,3,2
10600108,1060,19.6342330625,3,14,1,2,4,1,1,3,3.25,2,2,4,2,1,1,1,2,1,2,4,4,3,3,4,4
10600109,1060,19.6342330625,2,13.25,1,2,4,1,1,3,3,2,2,4,2,4,2,1,2,2,3,2,2,2,1,4,2
10600110,1060,19.6342330625,2,13.42,1,2,4.5,1,1,1,2.75,1,1,3,2,3,1,1,2,1,2,2,3,3,2,3,2
10600111,1060,19.6342330625,2,12.67,1,2,4,1,1,4,2.75,2,2,2,4,4,1,1,2,2,2,4,4,4,4,4,3
10600112,1060,19.6342330625,3,12.75,1,2,2,4,5,2,2.75,3,3,2,3,4,2,1,2,2,3,4,4,2,1,3,4
10600113,1060,19.6342330625,3,14,1,4,3,1,1,4,4,3,2,2,1,4,2,1,3,1,4,1,1,1,1,1,2
10610101,1061,18.9,2,13.5,1,2,5,1,1,3,2.75,2,2,3,2,3,1,1,3,2,3,2,3,2,2,3,2
10610102,1061,18.9,1,13.5,1,2,4,1,1,4,2.5,2,3,3,4,3,2,2,2,1,3,3,4,1,1,3,3
10610103,1061,18.9,3,14.25,0,4,4,,1,1,4,3,1,2,,4,4,,4,4,4,,,,,,
10610104,1061,18.9,2,13.75,0,4,4.5,1,1,2,3.25,2,2,4,1,4,3,1,4,4,4,1,1,1,1,4,1
10610105,1061,18.9,2,13.67,1,2,4,1,1,2,2.75,3,2,2,3,3,2,1,4,2,3,3,3,2,1,3,2
10610106,1061,18.9,3,12.92,1,2,5,2,2,3,2.75,2,1,3,1,3,2,1,3,3,4,1,2,2,1,4,1
10610107,1061,18.9,2,13.75,0,2,5,1,1,4,2.75,3,1,3,1,3,1,2,2,2,3,3,3,2,2,4,2
10610108,1061,18.9,2,13.5,1,2,4.5,1,1,3,3,2,3,3,3,2,1,2,4,4,4,3,4,4,3,4,3
10610109,1061,18.9,3,13.25,0,2,5,1,1,1,2.5,2,2,3,1,3,1,1,3,2,4,3,2,3,1,3,2
10610110,1061,18.9,1,14.17,1,2,5,1,4,1,3.25,3,3,2,3,3,1,2,3,2,2,4,4,4,2,4,2
10610111,1061,18.9,3,13.25,1,4,5,1,1,1,3,2,3,2,2,4,2,1,4,3,4,3,2,3,2,3,3
10610112,1061,18.9,3,13.92,0,2,5,1,1,2,3.5,2,1,3,1,4,1,1,3,2,3,2,2,2,2,3,2
